scenario,which_arm_restricted,num_agents,p,inertia,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,5,27,0,True,1
baseline,N/A,9,0.6,5,27,1,True,1
baseline,N/A,9,0.6,5,27,2,True,1
baseline,N/A,9,0.6,5,27,3,True,1
baseline,N/A,9,0.6,5,27,4,True,1
baseline,N/A,9,0.6,5,27,5,True,1
baseline,N/A,9,0.6,5,27,6,True,1
baseline,N/A,9,0.6,5,27,7,True,1
baseline,N/A,9,0.6,5,27,8,True,1
baseline,N/A,9,0.6,5,28,0,True,3
baseline,N/A,9,0.6,5,28,1,True,3
baseline,N/A,9,0.6,5,28,2,True,3
baseline,N/A,9,0.6,5,28,3,True,3
baseline,N/A,9,0.6,5,28,4,True,3
baseline,N/A,9,0.6,5,28,5,True,3
baseline,N/A,9,0.6,5,28,6,True,3
baseline,N/A,9,0.6,5,28,7,True,3
baseline,N/A,9,0.6,5,28,8,True,3
baseline,N/A,9,0.6,5,29,0,True,1
baseline,N/A,9,0.6,5,29,1,True,1
baseline,N/A,9,0.6,5,29,2,True,1
baseline,N/A,9,0.6,5,29,3,True,1
baseline,N/A,9,0.6,5,29,4,True,1
baseline,N/A,9,0.6,5,29,5,True,1
baseline,N/A,9,0.6,5,29,6,True,1
baseline,N/A,9,0.6,5,29,7,True,1
baseline,N/A,9,0.6,5,29,8,True,1
baseline,N/A,9,0.6,5,30,0,True,1
baseline,N/A,9,0.6,5,30,1,True,1
baseline,N/A,9,0.6,5,30,2,True,1
baseline,N/A,9,0.6,5,30,3,True,1
baseline,N/A,9,0.6,5,30,4,True,1
baseline,N/A,9,0.6,5,30,5,True,1
baseline,N/A,9,0.6,5,30,6,True,1
baseline,N/A,9,0.6,5,30,7,True,1
baseline,N/A,9,0.6,5,30,8,True,1
baseline,N/A,9,0.6,5,31,0,True,1
baseline,N/A,9,0.6,5,31,1,True,1
baseline,N/A,9,0.6,5,31,2,True,1
baseline,N/A,9,0.6,5,31,3,True,1
baseline,N/A,9,0.6,5,31,4,True,1
baseline,N/A,9,0.6,5,31,5,True,1
baseline,N/A,9,0.6,5,31,6,True,1
baseline,N/A,9,0.6,5,31,7,True,1
baseline,N/A,9,0.6,5,31,8,True,1
baseline,N/A,9,0.6,5,32,0,True,1
baseline,N/A,9,0.6,5,32,1,True,1
baseline,N/A,9,0.6,5,32,2,True,1
baseline,N/A,9,0.6,5,32,3,True,1
baseline,N/A,9,0.6,5,32,4,True,1
baseline,N/A,9,0.6,5,32,5,True,1
