scenario,which_arm_restricted,num_agents,p,sim_id,agent_id,was_correct,time_to_lock
restrict_dissemination,other,9,0.5,319,2,True,28
restrict_dissemination,other,9,0.5,319,3,True,1
restrict_dissemination,other,9,0.5,319,4,False,23
restrict_dissemination,other,9,0.5,319,5,True,1
restrict_dissemination,other,9,0.5,319,6,True,38
restrict_dissemination,other,9,0.5,319,7,True,1
restrict_dissemination,other,9,0.5,319,8,True,1
restrict_dissemination,target,9,0.5,320,0,True,74
restrict_dissemination,target,9,0.5,320,1,False,9
restrict_dissemination,target,9,0.5,320,2,False,9
restrict_dissemination,target,9,0.5,320,3,False,6
restrict_dissemination,target,9,0.5,320,4,True,1
restrict_dissemination,target,9,0.5,320,5,True,80
restrict_dissemination,target,9,0.5,320,6,False,3
restrict_dissemination,target,9,0.5,320,7,True,91
restrict_dissemination,target,9,0.5,320,8,False,96
restrict_dissemination,target,9,0.5,321,0,False,95
restrict_dissemination,target,9,0.5,321,1,True,101
restrict_dissemination,target,9,0.5,321,2,False,40
restrict_dissemination,target,9,0.5,321,3,False,98
restrict_dissemination,target,9,0.5,321,4,False,3
restrict_dissemination,target,9,0.5,321,5,False,40
restrict_dissemination,target,9,0.5,321,6,False,1
restrict_dissemination,target,9,0.5,321,7,False,3
restrict_dissemination,target,9,0.5,321,8,False,1
restrict_dissemination,other,9,0.5,322,0,False,1
restrict_dissemination,other,9,0.5,322,1,False,1
restrict_dissemination,other,9,0.5,322,2,False,1
restrict_dissemination,other,9,0.5,322,3,False,9
restrict_dissemination,other,9,0.5,322,4,False,1
restrict_dissemination,other,9,0.5,322,5,False,1
restrict_dissemination,other,9,0.5,322,6,False,1
restrict_dissemination,other,9,0.5,322,7,False,1
restrict_dissemination,other,9,0.5,322,8,False,1
restrict_dissemination,target,9,0.5,323,0,True,54
restrict_dissemination,target,9,0.5,323,1,False,28
restrict_dissemination,target,9,0.5,323,2,False,1
restrict_dissemination,target,9,0.5,323,3,False,28
restrict_dissemination,target,9,0.5,323,4,False,28
restrict_dissemination,target,9,0.5,323,5,False,1
restrict_dissemination,target,9,0.5,323,6,False,33
restrict_dissemination,target,9,0.5,323,7,True,27
restrict_dissemination,target,9,0.5,323,8,False,28
restrict_dissemination,target,9,0.5,324,0,True,1
restrict_dissemination,target,9,0.5,324,1,True,1
restrict_dissemination,target,9,0.5,324,2,True,1
restrict_dissemination,target,9,0.5,324,3,True,1
restrict_dissemination,target,9,0.5,324,4,True,5
restrict_dissemination,target,9,0.5,324,5,True,1
restrict_dissemination,target,9,0.5,324,6,True,1
restrict_dissemination,target,9,0.5,324,7,True,1
restrict_dissemination,target,9,0.5,324,8,True,1
restrict_dissemination,other,9,0.5,325,0,True,1
restrict_dissemination,other,9,0.5,325,1,True,25
restrict_dissemination,other,9,0.5,325,2,True,1
restrict_dissemination,other,9,0.5,325,3,True,1
restrict_dissemination,other,9,0.5,325,4,True,1
restrict_dissemination,other,9,0.5,325,5,True,1
restrict_dissemination,other,9,0.5,325,6,True,1
restrict_dissemination,other,9,0.5,325,7,False,94
restrict_dissemination,other,9,0.5,325,8,True,1
restrict_dissemination,target,9,0.5,326,0,False,15
restrict_dissemination,target,9,0.5,326,1,False,25
restrict_dissemination,target,9,0.5,326,2,False,7
restrict_dissemination,target,9,0.5,326,3,False,16
restrict_dissemination,target,9,0.5,326,4,False,12
restrict_dissemination,target,9,0.5,326,5,False,7
restrict_dissemination,target,9,0.5,326,6,False,35
restrict_dissemination,target,9,0.5,326,7,False,33
restrict_dissemination,target,9,0.5,326,8,False,4
restrict_dissemination,target,9,0.5,327,0,True,10
restrict_dissemination,target,9,0.5,327,1,True,1
restrict_dissemination,target,9,0.5,327,2,False,95
restrict_dissemination,target,9,0.5,327,3,True,10
restrict_dissemination,target,9,0.5,327,4,False,4
restrict_dissemination,target,9,0.5,327,5,False,4
restrict_dissemination,target,9,0.5,327,6,True,1
restrict_dissemination,target,9,0.5,327,7,False,11
restrict_dissemination,target,9,0.5,327,8,False,4
restrict_dissemination,other,9,0.5,328,0,False,1
restrict_dissemination,other,9,0.5,328,1,False,4
restrict_dissemination,other,9,0.5,328,2,False,1
restrict_dissemination,other,9,0.5,328,3,True,13
restrict_dissemination,other,9,0.5,328,4,False,1
restrict_dissemination,other,9,0.5,328,5,False,1
restrict_dissemination,other,9,0.5,328,6,False,1
restrict_dissemination,other,9,0.5,328,7,False,1
restrict_dissemination,other,9,0.5,328,8,False,1
restrict_dissemination,target,9,0.5,329,0,False,16
restrict_dissemination,target,9,0.5,329,1,False,4
restrict_dissemination,target,9,0.5,329,2,False,3
restrict_dissemination,target,9,0.5,329,3,False,3
restrict_dissemination,target,9,0.5,329,4,False,43
restrict_dissemination,target,9,0.5,329,5,False,12
restrict_dissemination,target,9,0.5,329,6,False,3
restrict_dissemination,target,9,0.5,329,7,False,18
restrict_dissemination,target,9,0.5,329,8,True,41
restrict_dissemination,target,9,0.5,330,0,True,94
restrict_dissemination,target,9,0.5,330,1,False,88
restrict_dissemination,target,9,0.5,330,2,True,84
restrict_dissemination,target,9,0.5,330,3,False,9
restrict_dissemination,target,9,0.5,330,4,True,44
restrict_dissemination,target,9,0.5,330,5,False,64
restrict_dissemination,target,9,0.5,330,6,False,6
restrict_dissemination,target,9,0.5,330,7,False,64
restrict_dissemination,target,9,0.5,330,8,False,6
restrict_dissemination,other,9,0.5,331,0,True,82
restrict_dissemination,other,9,0.5,331,1,True,20
restrict_dissemination,other,9,0.5,331,2,True,88
restrict_dissemination,other,9,0.5,331,3,True,19
restrict_dissemination,other,9,0.5,331,4,True,27
restrict_dissemination,other,9,0.5,331,5,True,1
restrict_dissemination,other,9,0.5,331,6,True,19
restrict_dissemination,other,9,0.5,331,7,True,1
restrict_dissemination,other,9,0.5,331,8,True,20
restrict_dissemination,other,9,0.5,332,0,False,1
restrict_dissemination,other,9,0.5,332,1,True,62
restrict_dissemination,other,9,0.5,332,2,True,1
restrict_dissemination,other,9,0.5,332,3,False,1
restrict_dissemination,other,9,0.5,332,4,True,32
restrict_dissemination,other,9,0.5,332,5,False,3
restrict_dissemination,other,9,0.5,332,6,True,3
restrict_dissemination,other,9,0.5,332,7,False,25
restrict_dissemination,other,9,0.5,332,8,True,31
restrict_dissemination,other,9,0.5,333,0,False,91
restrict_dissemination,other,9,0.5,333,1,True,73
restrict_dissemination,other,9,0.5,333,2,True,1
restrict_dissemination,other,9,0.5,333,3,True,1
restrict_dissemination,other,9,0.5,333,4,True,74
restrict_dissemination,other,9,0.5,333,5,True,1
restrict_dissemination,other,9,0.5,333,6,True,1
restrict_dissemination,other,9,0.5,333,7,True,101
restrict_dissemination,other,9,0.5,333,8,False,88
restrict_dissemination,target,9,0.5,334,0,False,1
restrict_dissemination,target,9,0.5,334,1,False,7
restrict_dissemination,target,9,0.5,334,2,False,1
restrict_dissemination,target,9,0.5,334,3,False,1
restrict_dissemination,target,9,0.5,334,4,False,4
restrict_dissemination,target,9,0.5,334,5,False,1
restrict_dissemination,target,9,0.5,334,6,False,1
restrict_dissemination,target,9,0.5,334,7,False,5
restrict_dissemination,target,9,0.5,334,8,False,1
restrict_dissemination,other,9,0.5,335,0,True,15
restrict_dissemination,other,9,0.5,335,1,True,15
restrict_dissemination,other,9,0.5,335,2,True,4
restrict_dissemination,other,9,0.5,335,3,True,55
restrict_dissemination,other,9,0.5,335,4,True,5
restrict_dissemination,other,9,0.5,335,5,True,1
restrict_dissemination,other,9,0.5,335,6,True,1
restrict_dissemination,other,9,0.5,335,7,True,56
restrict_dissemination,other,9,0.5,335,8,True,9
restrict_dissemination,other,9,0.5,336,0,False,77
restrict_dissemination,other,9,0.5,336,1,False,3
restrict_dissemination,other,9,0.5,336,2,True,4
restrict_dissemination,other,9,0.5,336,3,True,1
restrict_dissemination,other,9,0.5,336,4,True,4
restrict_dissemination,other,9,0.5,336,5,True,57
restrict_dissemination,other,9,0.5,336,6,True,52
restrict_dissemination,other,9,0.5,336,7,True,1
restrict_dissemination,other,9,0.5,336,8,True,7
restrict_dissemination,other,9,0.5,337,0,False,1
restrict_dissemination,other,9,0.5,337,1,False,1
restrict_dissemination,other,9,0.5,337,2,False,1
restrict_dissemination,other,9,0.5,337,3,False,1
restrict_dissemination,other,9,0.5,337,4,False,1
restrict_dissemination,other,9,0.5,337,5,False,1
restrict_dissemination,other,9,0.5,337,6,False,1
restrict_dissemination,other,9,0.5,337,7,False,1
restrict_dissemination,other,9,0.5,337,8,False,1
restrict_dissemination,target,9,0.5,338,0,False,1
restrict_dissemination,target,9,0.5,338,1,False,5
restrict_dissemination,target,9,0.5,338,2,False,28
restrict_dissemination,target,9,0.5,338,3,False,1
restrict_dissemination,target,9,0.5,338,4,False,5
restrict_dissemination,target,9,0.5,338,5,False,1
restrict_dissemination,target,9,0.5,338,6,False,1
restrict_dissemination,target,9,0.5,338,7,False,1
restrict_dissemination,target,9,0.5,338,8,False,8
restrict_dissemination,other,9,0.5,339,0,True,1
restrict_dissemination,other,9,0.5,339,1,True,25
restrict_dissemination,other,9,0.5,339,2,True,1
restrict_dissemination,other,9,0.5,339,3,True,25
restrict_dissemination,other,9,0.5,339,4,True,25
restrict_dissemination,other,9,0.5,339,5,True,1
restrict_dissemination,other,9,0.5,339,6,True,1
restrict_dissemination,other,9,0.5,339,7,True,29
restrict_dissemination,other,9,0.5,339,8,True,37
restrict_dissemination,other,9,0.5,340,0,True,1
restrict_dissemination,other,9,0.5,340,1,True,1
restrict_dissemination,other,9,0.5,340,2,True,8
restrict_dissemination,other,9,0.5,340,3,True,1
restrict_dissemination,other,9,0.5,340,4,True,1
restrict_dissemination,other,9,0.5,340,5,True,1
restrict_dissemination,other,9,0.5,340,6,True,11
restrict_dissemination,other,9,0.5,340,7,True,3
restrict_dissemination,other,9,0.5,340,8,True,1
restrict_dissemination,other,9,0.5,341,0,True,48
restrict_dissemination,other,9,0.5,341,1,True,8
restrict_dissemination,other,9,0.5,341,2,True,1
restrict_dissemination,other,9,0.5,341,3,True,52
restrict_dissemination,other,9,0.5,341,4,True,1
restrict_dissemination,other,9,0.5,341,5,True,7
restrict_dissemination,other,9,0.5,341,6,True,19
restrict_dissemination,other,9,0.5,341,7,True,1
restrict_dissemination,other,9,0.5,341,8,True,51
restrict_dissemination,target,9,0.5,342,0,False,1
restrict_dissemination,target,9,0.5,342,1,False,4
restrict_dissemination,target,9,0.5,342,2,False,1
restrict_dissemination,target,9,0.5,342,3,False,1
restrict_dissemination,target,9,0.5,342,4,False,7
restrict_dissemination,target,9,0.5,342,5,False,4
restrict_dissemination,target,9,0.5,342,6,False,6
restrict_dissemination,target,9,0.5,342,7,False,4
restrict_dissemination,target,9,0.5,342,8,False,7
restrict_dissemination,target,9,0.5,343,0,False,13
restrict_dissemination,target,9,0.5,343,1,False,48
restrict_dissemination,target,9,0.5,343,2,False,49
restrict_dissemination,target,9,0.5,343,3,False,1
restrict_dissemination,target,9,0.5,343,4,False,1
restrict_dissemination,target,9,0.5,343,5,False,48
restrict_dissemination,target,9,0.5,343,6,False,48
restrict_dissemination,target,9,0.5,343,7,False,49
restrict_dissemination,target,9,0.5,343,8,False,1
restrict_dissemination,other,9,0.5,344,0,True,35
restrict_dissemination,other,9,0.5,344,1,True,1
restrict_dissemination,other,9,0.5,344,2,True,7
restrict_dissemination,other,9,0.5,344,3,True,13
restrict_dissemination,other,9,0.5,344,4,False,3
restrict_dissemination,other,9,0.5,344,5,True,56
restrict_dissemination,other,9,0.5,344,6,True,8
restrict_dissemination,other,9,0.5,344,7,True,51
restrict_dissemination,other,9,0.5,344,8,True,8
restrict_dissemination,target,9,0.5,345,0,True,47
restrict_dissemination,target,9,0.5,345,1,False,1
restrict_dissemination,target,9,0.5,345,2,False,31
restrict_dissemination,target,9,0.5,345,3,False,31
restrict_dissemination,target,9,0.5,345,4,False,6
restrict_dissemination,target,9,0.5,345,5,False,9
restrict_dissemination,target,9,0.5,345,6,False,4
restrict_dissemination,target,9,0.5,345,7,True,3
restrict_dissemination,target,9,0.5,345,8,False,1
restrict_dissemination,target,9,0.5,346,0,True,1
restrict_dissemination,target,9,0.5,346,1,True,11
restrict_dissemination,target,9,0.5,346,2,True,1
restrict_dissemination,target,9,0.5,346,3,True,3
restrict_dissemination,target,9,0.5,346,4,True,1
restrict_dissemination,target,9,0.5,346,5,True,13
restrict_dissemination,target,9,0.5,346,6,True,1
restrict_dissemination,target,9,0.5,346,7,True,3
restrict_dissemination,target,9,0.5,346,8,True,1
restrict_dissemination,other,9,0.5,347,0,True,41
restrict_dissemination,other,9,0.5,347,1,False,85
restrict_dissemination,other,9,0.5,347,2,True,7
restrict_dissemination,other,9,0.5,347,3,True,29
restrict_dissemination,other,9,0.5,347,4,True,4
restrict_dissemination,other,9,0.5,347,5,True,4
restrict_dissemination,other,9,0.5,347,6,True,4
restrict_dissemination,other,9,0.5,347,7,True,4
restrict_dissemination,other,9,0.5,347,8,True,26
restrict_dissemination,other,9,0.5,348,0,False,15
restrict_dissemination,other,9,0.5,348,1,True,77
restrict_dissemination,other,9,0.5,348,2,True,75
restrict_dissemination,other,9,0.5,348,3,True,84
restrict_dissemination,other,9,0.5,348,4,False,13
restrict_dissemination,other,9,0.5,348,5,True,4
restrict_dissemination,other,9,0.5,348,6,False,1
restrict_dissemination,other,9,0.5,348,7,True,5
restrict_dissemination,other,9,0.5,348,8,True,4
restrict_dissemination,target,9,0.5,349,0,False,99
restrict_dissemination,target,9,0.5,349,1,False,6
restrict_dissemination,target,9,0.5,349,2,False,1
restrict_dissemination,target,9,0.5,349,3,False,54
restrict_dissemination,target,9,0.5,349,4,False,6
restrict_dissemination,target,9,0.5,349,5,False,1
restrict_dissemination,target,9,0.5,349,6,True,5
restrict_dissemination,target,9,0.5,349,7,False,1
restrict_dissemination,target,9,0.5,349,8,False,6
restrict_dissemination,other,9,0.5,350,0,False,98
restrict_dissemination,other,9,0.5,350,1,True,1
restrict_dissemination,other,9,0.5,350,2,True,91
restrict_dissemination,other,9,0.5,350,3,False,88
restrict_dissemination,other,9,0.5,350,4,True,89
restrict_dissemination,other,9,0.5,350,5,True,93
restrict_dissemination,other,9,0.5,350,6,True,93
restrict_dissemination,other,9,0.5,350,7,True,89
restrict_dissemination,other,9,0.5,350,8,True,91
restrict_dissemination,other,9,0.5,351,0,True,1
restrict_dissemination,other,9,0.5,351,1,True,1
restrict_dissemination,other,9,0.5,351,2,True,1
restrict_dissemination,other,9,0.5,351,3,True,1
restrict_dissemination,other,9,0.5,351,4,True,12
restrict_dissemination,other,9,0.5,351,5,True,1
restrict_dissemination,other,9,0.5,351,6,True,4
restrict_dissemination,other,9,0.5,351,7,True,4
restrict_dissemination,other,9,0.5,351,8,True,1
restrict_dissemination,target,9,0.5,352,0,False,94
restrict_dissemination,target,9,0.5,352,1,False,9
restrict_dissemination,target,9,0.5,352,2,False,1
restrict_dissemination,target,9,0.5,352,3,False,1
restrict_dissemination,target,9,0.5,352,4,False,30
restrict_dissemination,target,9,0.5,352,5,False,1
restrict_dissemination,target,9,0.5,352,6,True,5
restrict_dissemination,target,9,0.5,352,7,False,1
restrict_dissemination,target,9,0.5,352,8,False,42
restrict_dissemination,other,9,0.5,353,0,True,97
restrict_dissemination,other,9,0.5,353,1,True,4
restrict_dissemination,other,9,0.5,353,2,True,1
restrict_dissemination,other,9,0.5,353,3,True,4
restrict_dissemination,other,9,0.5,353,4,True,25
restrict_dissemination,other,9,0.5,353,5,True,1
restrict_dissemination,other,9,0.5,353,6,True,1
restrict_dissemination,other,9,0.5,353,7,True,99
restrict_dissemination,other,9,0.5,353,8,True,99
restrict_dissemination,target,9,0.5,354,0,False,8
restrict_dissemination,target,9,0.5,354,1,False,5
restrict_dissemination,target,9,0.5,354,2,False,40
restrict_dissemination,target,9,0.5,354,3,False,37
restrict_dissemination,target,9,0.5,354,4,False,3
restrict_dissemination,target,9,0.5,354,5,False,3
restrict_dissemination,target,9,0.5,354,6,False,3
restrict_dissemination,target,9,0.5,354,7,False,3
restrict_dissemination,target,9,0.5,354,8,False,5
restrict_dissemination,target,9,0.5,355,0,False,21
restrict_dissemination,target,9,0.5,355,1,False,5
restrict_dissemination,target,9,0.5,355,2,True,82
restrict_dissemination,target,9,0.5,355,3,False,5
restrict_dissemination,target,9,0.5,355,4,False,14
restrict_dissemination,target,9,0.5,355,5,False,5
restrict_dissemination,target,9,0.5,355,6,False,6
restrict_dissemination,target,9,0.5,355,7,False,21
restrict_dissemination,target,9,0.5,355,8,False,88
restrict_dissemination,other,9,0.5,356,0,True,4
restrict_dissemination,other,9,0.5,356,1,True,1
restrict_dissemination,other,9,0.5,356,2,True,16
restrict_dissemination,other,9,0.5,356,3,True,1
restrict_dissemination,other,9,0.5,356,4,True,10
restrict_dissemination,other,9,0.5,356,5,True,6
restrict_dissemination,other,9,0.5,356,6,True,4
restrict_dissemination,other,9,0.5,356,7,True,1
restrict_dissemination,other,9,0.5,356,8,True,1
restrict_dissemination,target,9,0.5,357,0,True,55
