scenario,which_arm_restricted,num_agents,p,epsilon,sim_id,agent_id,was_correct,time_to_lock
restrict_dissemination,other,9,0.6,0.1,730,2,True,3
restrict_dissemination,other,9,0.6,0.1,730,3,True,1
restrict_dissemination,other,9,0.6,0.1,730,4,True,3
restrict_dissemination,other,9,0.6,0.1,730,5,True,81
restrict_dissemination,other,9,0.6,0.1,730,6,True,3
restrict_dissemination,other,9,0.6,0.1,730,7,True,68
restrict_dissemination,other,9,0.6,0.1,730,8,True,72
restrict_dissemination,target,9,0.6,0.1,731,0,True,56
restrict_dissemination,target,9,0.6,0.1,731,1,False,76
restrict_dissemination,target,9,0.6,0.1,731,2,False,4
restrict_dissemination,target,9,0.6,0.1,731,3,True,1
restrict_dissemination,target,9,0.6,0.1,731,4,True,25
restrict_dissemination,target,9,0.6,0.1,731,5,False,70
restrict_dissemination,target,9,0.6,0.1,731,6,False,87
restrict_dissemination,target,9,0.6,0.1,731,7,True,86
restrict_dissemination,target,9,0.6,0.1,731,8,False,77
restrict_dissemination,other,9,0.6,0.1,732,0,True,3
restrict_dissemination,other,9,0.6,0.1,732,1,True,1
restrict_dissemination,other,9,0.6,0.1,732,2,True,6
restrict_dissemination,other,9,0.6,0.1,732,3,True,41
restrict_dissemination,other,9,0.6,0.1,732,4,True,3
restrict_dissemination,other,9,0.6,0.1,732,5,True,87
restrict_dissemination,other,9,0.6,0.1,732,6,True,1
restrict_dissemination,other,9,0.6,0.1,732,7,True,32
restrict_dissemination,other,9,0.6,0.1,732,8,False,85
restrict_dissemination,target,9,0.6,0.1,733,0,True,7
restrict_dissemination,target,9,0.6,0.1,733,1,False,9
restrict_dissemination,target,9,0.6,0.1,733,2,True,6
restrict_dissemination,target,9,0.6,0.1,733,3,True,74
restrict_dissemination,target,9,0.6,0.1,733,4,True,1
restrict_dissemination,target,9,0.6,0.1,733,5,False,10
restrict_dissemination,target,9,0.6,0.1,733,6,True,52
restrict_dissemination,target,9,0.6,0.1,733,7,True,58
restrict_dissemination,target,9,0.6,0.1,733,8,True,8
restrict_dissemination,target,9,0.6,0.1,734,0,True,1
restrict_dissemination,target,9,0.6,0.1,734,1,True,1
restrict_dissemination,target,9,0.6,0.1,734,2,True,16
restrict_dissemination,target,9,0.6,0.1,734,3,True,73
restrict_dissemination,target,9,0.6,0.1,734,4,True,7
restrict_dissemination,target,9,0.6,0.1,734,5,True,9
restrict_dissemination,target,9,0.6,0.1,734,6,False,81
restrict_dissemination,target,9,0.6,0.1,734,7,True,1
restrict_dissemination,target,9,0.6,0.1,734,8,True,17
restrict_dissemination,other,9,0.6,0.1,735,0,True,18
restrict_dissemination,other,9,0.6,0.1,735,1,True,59
restrict_dissemination,other,9,0.6,0.1,735,2,True,3
restrict_dissemination,other,9,0.6,0.1,735,3,True,75
restrict_dissemination,other,9,0.6,0.1,735,4,True,16
restrict_dissemination,other,9,0.6,0.1,735,5,True,1
restrict_dissemination,other,9,0.6,0.1,735,6,True,20
