network_structure,ps[0],ps[1],num_agents,default,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,N/A,1780,1000,0.514,5.14,89007847.65
complete,0.5,0.5001,10,N/A,1790,1000,0.514,5.14,89507839.94
complete,0.5,0.5001,10,N/A,1800,1000,0.514,5.14,90007873.9
complete,0.5,0.5001,10,N/A,1810,1000,0.514,5.14,90507939.51
complete,0.5,0.5001,10,N/A,1820,1000,0.514,5.14,91008051.46
complete,0.5,0.5001,10,N/A,1830,1000,0.514,5.14,91508103.28
complete,0.5,0.5001,10,N/A,1840,1000,0.514,5.14,92008164.41
complete,0.5,0.5001,10,N/A,1850,1000,0.514,5.14,92508223.75
complete,0.5,0.5001,10,N/A,1860,1000,0.514,5.14,93008334.77
complete,0.5,0.5001,10,N/A,1870,1000,0.514,5.14,93508405.21
complete,0.5,0.5001,10,N/A,1880,1000,0.514,5.14,94008378.1
complete,0.5,0.5001,10,N/A,1890,1000,0.514,5.14,94508448.55
complete,0.5,0.5001,10,N/A,1900,1000,0.514,5.14,95008497.63
complete,0.5,0.5001,10,N/A,1910,1000,0.514,5.14,95508555.84
complete,0.5,0.5001,10,N/A,1920,1000,0.514,5.14,96008679.75
complete,0.5,0.5001,10,N/A,1930,1000,0.514,5.14,96508777.66
complete,0.5,0.5001,10,N/A,1940,1000,0.514,5.14,97008807.84
complete,0.5,0.5001,10,N/A,1950,1000,0.514,5.14,97508902.73
complete,0.5,0.5001,10,N/A,1960,1000,0.514,5.14,98008859.85
complete,0.5,0.5001,10,N/A,1970,1000,0.514,5.14,98508910.21
complete,0.5,0.5001,10,N/A,1980,1000,0.514,5.14,99008902.01
complete,0.5,0.5001,10,N/A,1990,1000,0.514,5.14,99509028.25
complete,0.5,0.5001,10,N/A,2000,1000,0.514,5.14,100008995.94
complete,0.5,0.5001,10,N/A,2010,1000,0.514,5.14,100508979.53
complete,0.5,0.5001,10,N/A,2020,1000,0.514,5.14,101009031.14
complete,0.5,0.5001,10,N/A,2030,1000,0.514,5.14,101509094.98
complete,0.5,0.5001,10,N/A,2040,1000,0.514,5.14,102009090.58
complete,0.5,0.5001,10,N/A,2050,1000,0.514,5.14,102509116.51
complete,0.5,0.5001,10,N/A,2060,1000,0.514,5.14,103009189.17
complete,0.5,0.5001,10,N/A,2070,1000,0.514,5.14,103509305.29
complete,0.5,0.5001,10,N/A,2080,1000,0.514,5.14,104009291.65
complete,0.5,0.5001,10,N/A,2090,1000,0.514,5.14,104509409.97
complete,0.5,0.5001,10,N/A,2100,1000,0.514,5.14,105009436.44
complete,0.5,0.5001,10,N/A,2110,1000,0.514,5.14,105509530.19
complete,0.5,0.5001,10,N/A,2120,1000,0.514,5.14,106009583.26
complete,0.5,0.5001,10,N/A,2130,1000,0.514,5.14,106509629.96
complete,0.5,0.5001,10,N/A,2140,1000,0.514,5.14,107009730.15
complete,0.5,0.5001,10,N/A,2150,1000,0.514,5.14,107509757.57
complete,0.5,0.5001,10,N/A,2160,1000,0.514,5.14,108009686.14
complete,0.5,0.5001,10,N/A,2170,1000,0.514,5.14,108509659.14
complete,0.5,0.5001,10,N/A,2180,1000,0.514,5.14,109009755.58
complete,0.5,0.5001,10,N/A,2190,1000,0.514,5.14,109509807.31
complete,0.5,0.5001,10,N/A,2200,1000,0.514,5.14,110009855.24
complete,0.5,0.5001,10,N/A,2210,1000,0.514,5.14,110509892.66
complete,0.5,0.5001,10,N/A,2220,1000,0.514,5.14,111009860.02
complete,0.5,0.5001,10,N/A,2230,1000,0.514,5.14,111509859.53
complete,0.5,0.5001,10,N/A,2240,1000,0.514,5.14,112009958.13
complete,0.5,0.5001,10,N/A,2250,1000,0.514,5.14,112509959.57
complete,0.5,0.5001,10,N/A,2260,1000,0.514,5.14,113010070.76
complete,0.5,0.5001,10,N/A,2270,1000,0.514,5.14,113510149.02
complete,0.5,0.5001,10,N/A,2280,1000,0.514,5.14,114010124.02
complete,0.5,0.5001,10,N/A,2290,1000,0.514,5.14,114510182.68
complete,0.5,0.5001,10,N/A,2300,1000,0.514,5.14,115010254.17
complete,0.5,0.5001,10,N/A,2310,1000,0.514,5.14,115510296.81
complete,0.5,0.5001,10,N/A,2320,1000,0.514,5.14,116010324.67
complete,0.5,0.5001,10,N/A,2330,1000,0.514,5.14,116510438.07
complete,0.5,0.5001,10,N/A,2340,1000,0.514,5.14,117010551.87
complete,0.5,0.5001,10,N/A,2350,1000,0.514,5.14,117510571.11
complete,0.5,0.5001,10,N/A,2360,1000,0.514,5.14,118010583.04
complete,0.5,0.5001,10,N/A,2370,1000,0.514,5.14,118510669.91
complete,0.5,0.5001,10,N/A,2380,1000,0.514,5.14,119010719.99
complete,0.5,0.5001,10,N/A,2390,1000,0.514,5.14,119510718.4
complete,0.5,0.5001,10,N/A,2400,1000,0.514,5.14,120010739.11
complete,0.5,0.5001,10,N/A,2410,1000,0.514,5.14,120510847.47
complete,0.5,0.5001,10,N/A,2420,1000,0.514,5.14,121010870.72
complete,0.5,0.5001,10,N/A,2430,1000,0.514,5.14,121510947.57
complete,0.5,0.5001,10,N/A,2440,1000,0.514,5.14,122011059.02
complete,0.5,0.5001,10,N/A,2450,1000,0.514,5.14,122511175.61
complete,0.5,0.5001,10,N/A,2460,1000,0.514,5.14,123011306.84
complete,0.5,0.5001,10,N/A,2470,1000,0.514,5.14,123511414.73
complete,0.5,0.5001,10,N/A,2480,1000,0.514,5.14,124011451.46
complete,0.5,0.5001,10,N/A,2490,1000,0.514,5.14,124511447.03
complete,0.5,0.5001,10,N/A,2500,1000,0.514,5.14,125011493.6
complete,0.5,0.5001,10,N/A,2510,1000,0.514,5.14,125511571.99
complete,0.5,0.5001,10,N/A,2520,1000,0.514,5.14,126011626.26
complete,0.5,0.5001,10,N/A,2530,1000,0.514,5.14,126511656.92
complete,0.5,0.5001,10,N/A,2540,1000,0.514,5.14,127011701.14
complete,0.5,0.5001,10,N/A,2550,1000,0.514,5.14,127511731.23
complete,0.5,0.5001,10,N/A,2560,1000,0.514,5.14,128011781.79
complete,0.5,0.5001,10,N/A,2570,1000,0.514,5.14,128511824.45
complete,0.5,0.5001,10,N/A,2580,1000,0.514,5.14,129011888.18
complete,0.5,0.5001,10,N/A,2590,1000,0.514,5.14,129511980.61
complete,0.5,0.5001,10,N/A,2600,1000,0.514,5.14,130012036.11
complete,0.5,0.5001,10,N/A,2610,1000,0.514,5.14,130512033.83
complete,0.5,0.5001,10,N/A,2620,1000,0.514,5.14,131012194.11
complete,0.5,0.5001,10,N/A,2630,1000,0.514,5.14,131512278.64
complete,0.5,0.5001,10,N/A,2640,1000,0.514,5.14,132012286.08
complete,0.5,0.5001,10,N/A,2650,1000,0.514,5.14,132512383.9
complete,0.5,0.5001,10,N/A,2660,1000,0.514,5.14,133012443.21
complete,0.5,0.5001,10,N/A,2670,1000,0.514,5.14,133512528.96
complete,0.5,0.5001,10,N/A,2680,1000,0.514,5.14,134012649.17
complete,0.5,0.5001,10,N/A,2690,1000,0.514,5.14,134512674.29
complete,0.5,0.5001,10,N/A,2700,1000,0.514,5.14,135012636.74
complete,0.5,0.5001,10,N/A,2710,1000,0.514,5.14,135512615.48
complete,0.5,0.5001,10,N/A,2720,1000,0.514,5.14,136012595.4
complete,0.5,0.5001,10,N/A,2730,1000,0.514,5.14,136512698.76
complete,0.5,0.5001,10,N/A,2740,1000,0.514,5.14,137012716.93
complete,0.5,0.5001,10,N/A,2750,1000,0.514,5.14,137512758.52
complete,0.5,0.5001,10,N/A,2760,1000,0.514,5.14,138012824.96
complete,0.5,0.5001,10,N/A,2770,1000,0.514,5.14,138512876.6
complete,0.5,0.5001,10,N/A,2780,1000,0.514,5.14,139013013.83
complete,0.5,0.5001,10,N/A,2790,1000,0.514,5.14,139512995.53
complete,0.5,0.5001,10,N/A,2800,1000,0.514,5.14,140013088.68
complete,0.5,0.5001,10,N/A,2810,1000,0.514,5.14,140513103.92
complete,0.5,0.5001,10,N/A,2820,1000,0.514,5.14,141013170.63
complete,0.5,0.5001,10,N/A,2830,1000,0.514,5.14,141513207.67
complete,0.5,0.5001,10,N/A,2840,1000,0.514,5.14,142013245.12
complete,0.5,0.5001,10,N/A,2850,1000,0.514,5.14,142513277.31
complete,0.5,0.5001,10,N/A,2860,1000,0.514,5.14,143013316.47
complete,0.5,0.5001,10,N/A,2870,1000,0.514,5.14,143513484.24
complete,0.5,0.5001,10,N/A,2880,1000,0.514,5.14,144013539.7
complete,0.5,0.5001,10,N/A,2890,1000,0.514,5.14,144513518.43
complete,0.5,0.5001,10,N/A,2900,1000,0.514,5.14,145013545.47
complete,0.5,0.5001,10,N/A,2910,1000,0.514,5.14,145513555.43
complete,0.5,0.5001,10,N/A,2920,1000,0.514,5.14,146013687.21
complete,0.5,0.5001,10,N/A,2930,1000,0.514,5.14,146513734.01
complete,0.5,0.5001,10,N/A,2940,1000,0.514,5.14,147013829.32
complete,0.5,0.5001,10,N/A,2950,1000,0.514,5.14,147513866.0
complete,0.5,0.5001,10,N/A,2960,1000,0.514,5.14,148013850.88
complete,0.5,0.5001,10,N/A,2970,1000,0.514,5.14,148513824.87
complete,0.5,0.5001,10,N/A,2980,1000,0.514,5.14,149013959.79
complete,0.5,0.5001,10,N/A,2990,1000,0.514,5.14,149514017.8
complete,0.5,0.5001,10,N/A,3000,1000,0.514,5.14,150014102.2
complete,0.5,0.5001,10,N/A,3010,1000,0.514,5.14,150514247.28
complete,0.5,0.5001,10,N/A,3020,1000,0.514,5.14,151014222.77
complete,0.5,0.5001,10,N/A,3030,1000,0.514,5.14,151514236.15
complete,0.5,0.5001,10,N/A,3040,1000,0.514,5.14,152014215.65
complete,0.5,0.5001,10,N/A,3050,1000,0.514,5.14,152514231.21
complete,0.5,0.5001,10,N/A,3060,1000,0.514,5.14,153014232.44
complete,0.5,0.5001,10,N/A,3070,1000,0.514,5.14,153514287.06
complete,0.5,0.5001,10,N/A,3080,1000,0.514,5.14,154014273.99
complete,0.5,0.5001,10,N/A,3090,1000,0.514,5.14,154514380.67
complete,0.5,0.5001,10,N/A,3100,1000,0.514,5.14,155014417.81
complete,0.5,0.5001,10,N/A,3110,1000,0.514,5.14,155514529.74
complete,0.5,0.5001,10,N/A,3120,1000,0.514,5.14,156014504.04
complete,0.5,0.5001,10,N/A,3130,1000,0.514,5.14,156514544.53
complete,0.5,0.5001,10,N/A,3140,1000,0.514,5.14,157014573.38
complete,0.5,0.5001,10,N/A,3150,1000,0.514,5.14,157514618.85
complete,0.5,0.5001,10,N/A,3160,1000,0.514,5.14,158014679.66
complete,0.5,0.5001,10,N/A,3170,1000,0.514,5.14,158514667.37
complete,0.5,0.5001,10,N/A,3180,1000,0.514,5.14,159014726.78
complete,0.5,0.5001,10,N/A,3190,1000,0.514,5.14,159514817.34
complete,0.5,0.5001,10,N/A,3200,1000,0.514,5.14,160014888.31
complete,0.5,0.5001,10,N/A,3210,1000,0.514,5.14,160514954.91
complete,0.5,0.5001,10,N/A,3220,1000,0.514,5.14,161014974.38
complete,0.5,0.5001,10,N/A,3230,1000,0.514,5.14,161515045.31
complete,0.5,0.5001,10,N/A,3240,1000,0.514,5.14,162015075.87
complete,0.5,0.5001,10,N/A,3250,1000,0.514,5.14,162515045.62
complete,0.5,0.5001,10,N/A,3260,1000,0.514,5.14,163015058.86
complete,0.5,0.5001,10,N/A,3270,1000,0.514,5.14,163515151.79
complete,0.5,0.5001,10,N/A,3280,1000,0.514,5.14,164015312.71
complete,0.5,0.5001,10,N/A,3290,1000,0.514,5.14,164515288.08
complete,0.5,0.5001,10,N/A,3300,1000,0.514,5.14,165015349.4
complete,0.5,0.5001,10,N/A,3310,1000,0.514,5.14,165515450.15
complete,0.5,0.5001,10,N/A,3320,1000,0.514,5.14,166015559.02
complete,0.5,0.5001,10,N/A,3330,1000,0.514,5.14,166515645.85
complete,0.5,0.5001,10,N/A,3340,1000,0.514,5.14,167015713.51
complete,0.5,0.5001,10,N/A,3350,1000,0.514,5.14,167515694.19
complete,0.5,0.5001,10,N/A,3360,1000,0.514,5.14,168015694.77
complete,0.5,0.5001,10,N/A,3370,1000,0.514,5.14,168515676.57
complete,0.5,0.5001,10,N/A,3380,1000,0.514,5.14,169015617.18
complete,0.5,0.5001,10,N/A,3390,1000,0.514,5.14,169515635.55
complete,0.5,0.5001,10,N/A,3400,1000,0.514,5.14,170015644.35
complete,0.5,0.5001,10,N/A,3410,1000,0.514,5.14,170515808.1
complete,0.5,0.5001,10,N/A,3420,1000,0.514,5.14,171015875.6
complete,0.5,0.5001,10,N/A,3430,1000,0.514,5.14,171515937.65
complete,0.5,0.5001,10,N/A,3440,1000,0.514,5.14,172015979.24
complete,0.5,0.5001,10,N/A,3450,1000,0.514,5.14,172516076.97
complete,0.5,0.5001,10,N/A,3460,1000,0.514,5.14,173016089.76
complete,0.5,0.5001,10,N/A,3470,1000,0.514,5.14,173516032.34
complete,0.5,0.5001,10,N/A,3480,1000,0.514,5.14,174016112.52
complete,0.5,0.5001,10,N/A,3490,1000,0.514,5.14,174516193.83
complete,0.5,0.5001,10,N/A,3500,1000,0.514,5.14,175016301.87
complete,0.5,0.5001,10,N/A,3510,1000,0.514,5.14,175516290.56
complete,0.5,0.5001,10,N/A,3520,1000,0.514,5.14,176016405.78
complete,0.5,0.5001,10,N/A,3530,1000,0.514,5.14,176516525.06
complete,0.5,0.5001,10,N/A,3540,1000,0.514,5.14,177016593.0
complete,0.5,0.5001,10,N/A,3550,1000,0.514,5.14,177516604.5
complete,0.5,0.5001,10,N/A,3560,1000,0.514,5.14,178016669.33
complete,0.5,0.5001,10,N/A,3570,1000,0.514,5.14,178516746.28
complete,0.5,0.5001,10,N/A,3580,1000,0.514,5.14,179016754.04
complete,0.5,0.5001,10,N/A,3590,1000,0.514,5.14,179516748.08
complete,0.5,0.5001,10,N/A,3600,1000,0.514,5.14,180016759.58
complete,0.5,0.5001,10,N/A,3610,1000,0.514,5.14,180516847.49
complete,0.5,0.5001,10,N/A,3620,1000,0.514,5.14,181016983.39
complete,0.5,0.5001,10,N/A,3630,1000,0.514,5.14,181517047.24
complete,0.5,0.5001,10,N/A,3640,1000,0.514,5.14,182017073.67
complete,0.5,0.5001,10,N/A,3650,1000,0.514,5.14,182517034.21
