network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,2690,1000,0.648,6.48,13451538.59
complete,0.5,0.5001,10,0.1,2700,1000,0.651,6.51,13501545.855
complete,0.5,0.5001,10,0.1,2710,1000,0.651,6.51,13551544.848
complete,0.5,0.5001,10,0.1,2720,1000,0.655,6.55,13601551.699
complete,0.5,0.5001,10,0.1,2730,1000,0.655,6.55,13651557.555
complete,0.5,0.5001,10,0.1,2740,1000,0.65,6.5,13701573.627
complete,0.5,0.5001,10,0.1,2750,1000,0.646,6.46,13751579.835
complete,0.5,0.5001,10,0.1,2760,1000,0.646,6.46,13801592.867
complete,0.5,0.5001,10,0.1,2770,1000,0.654,6.54,13851592.549
complete,0.5,0.5001,10,0.1,2780,1000,0.654,6.54,13901601.161
complete,0.5,0.5001,10,0.1,2790,1000,0.647,6.47,13951613.529
complete,0.5,0.5001,10,0.1,2800,1000,0.655,6.55,14001621.447
complete,0.5,0.5001,10,0.1,2810,1000,0.65,6.5,14051632.792
complete,0.5,0.5001,10,0.1,2820,1000,0.652,6.52,14101636.252
complete,0.5,0.5001,10,0.1,2830,1000,0.654,6.54,14151636.685
complete,0.5,0.5001,10,0.1,2840,1000,0.656,6.56,14201646.644
complete,0.5,0.5001,10,0.1,2850,1000,0.66,6.6,14251651.131
complete,0.5,0.5001,10,0.1,2860,1000,0.661,6.61,14301654.911
complete,0.5,0.5001,10,0.1,2870,1000,0.662,6.62,14351657.173
complete,0.5,0.5001,10,0.1,2880,1000,0.661,6.61,14401664.073
complete,0.5,0.5001,10,0.1,2890,1000,0.665,6.65,14451669.312
complete,0.5,0.5001,10,0.1,2900,1000,0.663,6.63,14501669.893
complete,0.5,0.5001,10,0.1,2910,1000,0.663,6.63,14551673.101
complete,0.5,0.5001,10,0.1,2920,1000,0.667,6.67,14601678.275
complete,0.5,0.5001,10,0.1,2930,1000,0.666,6.66,14651683.774
complete,0.5,0.5001,10,0.1,2940,1000,0.667,6.67,14701694.593
complete,0.5,0.5001,10,0.1,2950,1000,0.67,6.7,14751704.331
complete,0.5,0.5001,10,0.1,2960,1000,0.664,6.64,14801708.007
complete,0.5,0.5001,10,0.1,2970,1000,0.666,6.66,14851715.131
complete,0.5,0.5001,10,0.1,2980,1000,0.671,6.71,14901716.241
complete,0.5,0.5001,10,0.1,2990,1000,0.67,6.7,14951719.851
